Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_274.jpg,-12.53219,0,0,0,99.66999,85.58903,0.0002442156,71.91338,1.236626E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_324.jpg,-15,0,0,0,99.66999,85.58903,0.0002433114,70.16083,2.253427E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_373.jpg,-15,0,0,0,99.66999,85.58903,0.0002421177,67.46083,3.665692E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_423.jpg,-12.99722,0,0,0,99.66999,85.58903,0.0002405626,65.84071,4.408866E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_472.jpg,-10.03947,0,0,0,99.66999,85.58903,0.0002382379,63.85717,5.153457E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_522.jpg,-7.067949,0,0,0,99.66999,85.58903,0.0002371388,62.94946,5.37222E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_572.jpg,-6.049661,0,0,0,99.66999,85.58903,0.0002350501,61.91989,5.476383E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_622.jpg,-6.063696,0,0,0,99.66999,85.58903,0.0002350144,61.13242,5.553018E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_671.jpg,-3.056045,0,0,0,99.66999,85.58903,0.0002343645,60.58672,5.505873E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_722.jpg,-0.05393587,0,0,0,99.66999,85.58903,0.0002337181,60.39426,5.028342E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_773.jpg,0,0,0,0,99.66999,85.58903,0.000232761,60.39426,4.346255E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_822.jpg,0,0,0,0,99.66999,85.58903,0.0002321462,60.39426,3.910546E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_872.jpg,0,0,0,0,99.66999,85.58902,0.0002313877,60.39426,3.195073E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_922.jpg,0,0,0,0,99.66999,85.58902,0.0002309988,60.39426,2.715659E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_972.jpg,0,0,0,0,99.66999,85.58902,0.0002300067,60.39426,2.005051E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_022.jpg,0,0,0,0,99.66999,85.58902,0.0002297969,60.39426,1.541409E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_073.jpg,0,0,0,0,99.66999,85.58902,0.0002296575,60.39426,8.42296E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_123.jpg,0,0,0,0,99.66999,85.58902,0.0002295159,60.39426,3.528587E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_190.jpg,0,0,0,0,99.66999,85.58902,0.0002297365,60.39426,-2.318735E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_255.jpg,0,0,0,0,99.66999,85.58902,0.0002293615,60.39426,-1.008959E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_322.jpg,0,0,0,0,99.66999,85.58902,0.0002295158,60.39426,-1.485058E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_391.jpg,0,0,0,0,99.66999,85.58902,0.0002298842,60.39426,-1.916864E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_456.jpg,0,0,0,0,99.66999,85.58902,0.0002298263,60.39426,-2.354417E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_524.jpg,0,0,0,0,99.66999,85.58902,0.0002295325,60.39426,-2.577431E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_590.jpg,0,0,0,0,99.66999,85.58902,0.0002295093,60.39426,-2.69395E-05
